INSEE,Latitude,Longitude
01288,46.2,5.93333
01289,46.1833,5.2
01290,45.9,5.18333
01291,46.2333,4.98333
01292,46.0333,5.65
01293,46.15,5.51667
01294,45.6767,5.67751
01295,46.1167,4.81667
01296,46.3833,5.3
01297,45.8833,5.08333
01298,46.1833,5.73333
01299,46.0167,5.08333
01300,46.15,5.7
01301,46.25,5.13333
01302,45.8,5.75
01303,46.0833,5.4
01304,46.05,5.33333
01305,46.4333,4.93333
01306,46.2667,4.88333
01307,46.1667,5.56667
01308,46.1333,5.95
01309,46.3333,5.43333
01310,45.6833,5.65
01311,45.8667,5.56667
01312,46.3333,5.38333
01313,46.25,6.08333
01314,46,5.28333
01316,45.8167,5.65
01317,46.2,5.35
01318,45.9667,4.86667
01319,46.0833,4.95
01320,46.3,4.88333
01321,46.1667,5.33333
01322,45.9333,4.81667
01323,46.4333,4.91667
01325,45.9333,5.18333
01328,46.1167,5.03333
01329,45.8333,5.6
01330,46,5.66667
01331,46.1,5.45
01332,46.3,4.91667
01333,45.9167,4.95
01334,46.2167,4.91667
01335,46.1167,5.08333
01336,46.15,5.06667
01337,46.4333,4.96667
01338,45.7,5.58333
01339,45.945,4.73723
01340,45.7,5.63333
01341,45.7833,5.73333
01342,45.8942,5.05195
01343,46.2667,4.98333
01344,46.2,5.2
01345,45.95,5.33333
01346,46.3,5.06667
01347,45.95,4.78333
01348,46.1667,4.81667
01349,45.9333,5.15
01350,46.2833,5.28333
01351,46.15,4.86667
01352,46.4,5
01353,45.9667,4.78333
01354,46.25,6.01667
01355,46.2833,5.01667
01356,46.1,5.03333
01357,46.1833,5.73333
01358,45.7667,5.61667
01359,46.0833,5.05
01360,46.2167,5.95
01361,45.8333,5.21667
01362,45.95,4.88333
01363,46.0284,5.38917
01364,46.4,5.06667
01365,46.25,4.91667
01366,45.8833,5.28333
01367,46.4,5.11667
01368,46.2,4.95
01369,46.1903,5.28
01370,46.3,4.83333
01371,45.9487,4.98723
01372,45.85,5.68333
01373,46.1333,5.55
01374,46.1,5.33333
01375,46.2833,5.11667
01376,45.8333,4.96667
01378,45.8167,5.2
01379,45.95,5.28333
01380,46.45,5.15
01381,46.05,5.15
01382,46.0167,4.93333
